index,ID,name,category,rank,desc
3,R-001,낡은 마나 수정,item,E,마력이 거의 남지 않은 낡은 수정. 기본적인 마력원으로 사용된다.
7,S-001,파편화된 연구일지,item,C,타락한 연구원이 남긴 연구일지의 일부. 그의 행적을 추적할 단서가 담겨있다.
16,R-002,부식된 고대 장치 조각,item,D,심해의 압력과 염분에 의해 심하게 부식된 정체불명의 장치 조각.
20,S-002,사원의 비문,item,B,고대 문자로 심연의 군주에 대한 이야기가 적힌 석판.
22,S-003,심연의 눈물,item,A,심연의 군주 아틀라스를 처치하고 얻은 보물. 응축된 심해의 정수가 담겨있다.
29,S-004,차원 안정화 장치,item,A,뒤틀린 차원을 안정시킬 수 있는 핵심 부품.
30,R-003,시간술사의 태엽심장,material,A,시간을 관장하던 고대 기계의 핵심 부품. 엄청난 마력을 내포하고 있다.
31,S-005,사서의 열쇠 톱니,special,B,특수한 합금으로 제작된 톱니 모양의 열쇠. 3층으로 가는 승강기를 작동시킨다.
32,S-006,온전한 데이터 판,special,C,부식을 거의 피한 희귀한 데이터 판. 고대 기술과 서고의 비밀이 담겨있다.
33,I-001,방청유,item,C,일시적으로 '부식' 상태이상에 대한 저항력을 부여하는 특수 기름.
