index,ID,name,category,rank,habit,weak,desc
1,M-ETC001,고블린 경비병,monster,D,인공 시설,[물리 타격],버려진 연구소의 입구를 지키는 경비병
2,M-ETC002,탐욕의 그림자,monster,C,어두운 장소,[빛],귀중품에 대한 탐욕이 만들어낸 그림자 형태의 몬스터
3,B-G001-MAIN,타락한 연구원,boss,A,연구소,[신성],금지된 연구에 손을 대 타락해버린 연구소의 주인
4,M-ETC003,맹독 산호 게,monster,C,해안/산호 지대,[번개],강력한 독을 품고 있는 산호초 지대의 포식자
5,M-ETC004,심해 아귀,monster,B,심해,[빛],빛으로 먹잇감을 유인하는 심해의 교활한 사냥꾼
6,M-ETC005,해룡 사제,monster,B,고대 사원,[암흑],심연의 군주를 섬기는 고대의 사제
7,B-G002-MAIN,심연의 군주 아틀라스,boss,S,고대 사원,"[빛],[물리 타격]",심해 가장 깊은 곳에 군림하는 고대의 존재
8,B-G003-SUB,수호자 - 시간의 틈새,boss,A,차원의 핵,[시간 왜곡],뒤틀린 시공간의 중심부를 지키는 수호자
9,B-G003-MAIN,차원파괴자,boss,S,시공간의 끝,[현실 조작],모든 차원을 파괴하려는 궁극적인 위협
10,M-ETC006,태엽톱니 파수병,monster,B,"지정 구역 순찰, 침입자 우선 공격","[전격], [산성]",거대한 톱니 방패와 피스톤 팔로 무장한 서고의 표준 경비 인형. 정면 방어력이 매우 높다.
11,M-ETC007,기어다니는 색인기,monster,C,"무리 행동, 벽이나 천장 이동","[광역 화염], [전격]",데이터 판을 운반하고 분류하던 작은 기계. 현재는 침입자를 '오류 데이터'로 색인하여 파수병에게 좌표를 전송한다.
12,B-G004-SUB,해체된 관리인,boss,B,천체실 중앙을 배회하며 파괴,"[전격], [관절부]",여러 개의 기계 팔을 가진 정비용 자동인형. 오작동으로 인해 주변의 모든 것을 닥치는 대로 부수고 있다.
13,B-G004-MAIN,부식된 사서장,boss,A,"부식의 왕좌에 착석, 침입자 제거","[전격], [성속성]","서고를 통제하던 마스터 A.I.였으나, 지금은 모든 것을 부식시키려는 존재로 변질되었다. 지능적으로 헌터들의 약점을 파고든다."
